location,day_shift,week_day,local_bright,local_noise,battery_level,battery_charging,power_saving,playback,headset,bluetooth,network,screen,orientation,app,volume,bright,ring_mode
D8,9,1,0,0,4,0,0,1,1,1,1,0,1,21,15,38,0
D8,9,1,0,26,4,0,0,1,1,1,1,0,1,21,15,38,0
D8,9,1,0,5,4,0,0,1,1,1,1,0,1,21,15,38,0
D8,9,1,0,26,4,0,0,1,1,1,1,0,1,21,15,38,0
D8,9,1,0,24,4,0,0,1,1,1,1,0,1,21,15,38,0
D8,9,1,0,85,4,0,0,1,1,1,1,0,1,21,15,38,0
D7,9,1,0,28,4,0,0,1,1,1,1,0,1,21,15,38,0
D7,9,1,0,0,4,0,0,1,1,1,1,0,1,21,15,38,0
D7,9,1,0,17,4,0,0,1,1,1,1,0,1,21,15,38,0
D7,9,1,0,64,4,0,0,1,1,1,1,0,1,21,15,38,0
D7,9,1,0,190,4,0,0,1,1,1,1,0,1,21,15,38,0
D7,9,1,0,36,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,10,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,53,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,27,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,152,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,2,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,25,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,4,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,33,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,38,4,0,0,0,1,1,1,0,1,21,15,38,0
P3,9,1,0,350,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,20,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,47,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,16,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,112,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,282,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,20,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,13,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,41,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,60,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,21,4,0,0,1,1,1,1,0,1,21,15,38,0
P3,9,1,0,22,4,0,0,1,1,1,2,0,1,21,15,38,0
P3,9,1,0,19,4,0,0,1,1,1,2,0,1,21,15,38,0
P3,9,1,0,7,4,0,0,0,1,1,2,0,1,21,15,38,0
P3,9,1,0,9,4,0,0,0,1,1,2,0,1,21,15,38,0
P3,9,1,0,13,4,0,0,1,1,1,2,1,1,21,15,38,0
P3,9,1,1,7,4,0,0,1,1,1,2,1,1,12,15,38,0
P3,9,1,3,0,4,0,0,1,1,1,2,1,1,12,15,38,0
P3,9,1,2,5,4,0,0,0,1,1,2,1,1,12,15,38,0
P3,9,1,0,0,4,0,0,0,1,1,2,1,1,12,15,38,0
P3,9,1,1,3,4,0,0,0,1,1,2,1,1,12,15,38,0
P3,9,1,1,0,4,0,0,0,1,1,2,1,1,12,15,38,0
P3,9,1,1,3,4,0,0,0,1,1,2,1,1,12,15,38,0
P3,9,1,1,7,4,0,0,0,1,1,2,1,1,12,15,38,0
P3,9,1,1,7,4,0,0,0,1,1,2,1,1,12,15,38,0
P3,9,1,1,2,4,0,0,0,1,1,2,1,1,12,15,38,0
P3,9,1,1,0,4,0,0,0,1,1,2,1,1,12,15,38,0
P3,9,1,1,1,4,0,0,0,1,1,2,1,1,12,15,38,0
P3,9,1,1,0,4,0,0,0,1,1,2,1,1,12,15,38,0
P3,9,1,1,134,4,0,0,0,1,1,2,1,1,12,15,38,0
P3,9,1,4,2,4,0,0,0,1,1,2,1,1,12,15,38,0
P3,9,1,8,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,8,4,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,4,6,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,1,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,2,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,0,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,0,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,0,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,0,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,0,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,6,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,1,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,0,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,6,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,8,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,7,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,0,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,0,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,1,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,7,4,0,0,0,0,0,2,0,1,12,0,38,0
